key,en,cn,jp,ko,zh,情緒,vi
SCENE_MAI_DOGGY_DOOR_AFTER_02,Hah... ugh... I feel like I'm about to collapse...,哈啊……呜呃……感觉随时会瘫下去……,はぁ…うぐ…今にもへたり込んじゃいそう…,하아.. 으긋.. 금방이라도 주저앉을 거 같아..,哈啊……嗚呃……感覺隨時會癱下去……,余韻,Hà... ư... em như sắp khuỵu xuống luôn rồi...
SCENE_MAI_COWGIRL_MARKING_PLAYING_01,Aah...! Hah! Too rough... seriously...!,啊啊……！哈呜！太激烈了啦……！,ああん…！はうっ！激しすぎ…だしぃ…！,아앙..! 하읏! 너무 거칠어..!,啊啊……！哈嗚！太激烈了啦……！,びっくり,A... hộc... anh mạnh bạo quá... thật đấy...!
SCENE_MAI_DOGGY_DOOR_AFTER_01,Hoo... it's dripping so much between my legs...,呼……一直从股间滴下来……,ふうっ…股の間から、めっちゃ垂れてくる…,흐읏.. 다리 사이로 무언가 흘러내려..,呼……一直從股間滴下來……,余韻,Phù... chảy hết ra kẽ đùi em rồi này...
SCENE_MAI_COWGIRL_MARKING_PLAYING_03,Aah...! Good...! More... go even harder...!,啊啊……！好爽……！再来……更激烈一点……！,ああんっ…！いぃ…！もっと…もっと激しくしてぇ…！,아앙! 좋아..! 더.. 더 격렬하게..!,啊啊……！好爽……！再來……更激烈一點……！,びっくり,A... sướng quá...! Nữa đi... mạnh hơn nữa đi anh...!
SCENE_MAI_COWGIRL_MARKING_PLAYING_02,Nn... kiss... don't stop kissing me... hah...!,嗯……啾……别停下接吻……哈啊……！,ん…ちゅっ…キス…止めないでよ…はぁっ…！,응.. 츄웁.. 키스.. 멈추지 마.. 아앗!,嗯……啾……別停下接吻……哈啊……！,びっくり+キス,Ưm... *chụt*... đừng ngừng hôn em mà... hah...!
SCENE_MAI_COWGIRL_MARKING_PLAYING_04,Slurp... nn... don't you dare pull your lips away...!,啾噜……嗯……不准把嘴唇离开喔……！,ちゅる…んぅ…唇離したら…ダメだからね…！,츄릅.. 으응.. 입술 떨어지면.. 안돼..!,啾嚕……嗯……不准把嘴唇離開喔……！,びっくり+キス,*Chùn chụt*... ưm... cấm anh buông môi ra đấy nhé...!
SCENE_BUTLER_AHEN_FELLATIO_3,Nnmm...,嗯唔……,んむ…,우물..,嗯唔……,フェラ,Ưm...
SCENE_BUTLER_AHEN_6,Ngh...,嗯呃……,んぐっ…,우웁..,嗯呃……,フェラ,Ực...
SCENE_BUTLER_AHEN_FELLATIO_1,Lick...,舔……,ぺろっ…,할짝..,舔……,舐める,Liếm...
SCENE_BUTLER_AHEN_FELLATIO_4,Gulp...,吞……,ごくん…,꿀꺽..,吞……,フェラ,Nuốt...
SCENE_KONIAL_AHEN_FELLATIO_1,Slurp...,啾噜……,じゅるっ…,후릅..,啾嚕……,フェラ,Mút...
SCENE_BUTLER_AHEN_FELLATIO_2,*Wet kiss*...,啾噗……,ちゅぷっ…,츄웁..,啾噗……,キス,*Chụt*...
SCENE_KONIAL_AHEN_KISS_5,Hah... kiss...,哈啊……啾……,はぁ…ちゅっ…,하아.. 쪽..,哈啊……啾……,キス,Hà... chụt...
SCENE_MAI_AHEN_KISS_1,Nn...,嗯……,んっ…,읍..,嗯……,キス,Ưm...
SCENE_KONIAL_AHEN_KISS_2,Sluuurp...,啾噜噜……,ちゅるるっ…,츄르릅..,啾嚕嚕……,キス,Chùn chụt...
SCENE_KONIAL_FULL_NELSON_CUM_01,W-wait... a-are you going to come? Inside...!,等、等一下……你、你要射吗？射在里面……！,ちょ…ちょっと…だ、出す気か？中に…！,자.. 잠깐.. 싸.. 싸려는 거야? 이 안에..엣!,等、等一下……你、你要射嗎？射在裡面……！,絶頂,K-khoan đã... n-ngươi định bắn sao? Ở bên trong...!
SCENE_MAI_ANAL_CAT_PLAYING_01,Naaah...! Hah...! Wh-what is this...! It's totally different from my pussy...!,嗯啊啊……！哈啊……！这、这是什么感觉……！跟小穴完全不一样……！,んあぁっ…！ はぁっ…！ な、なにこれぇ…！ まんこと…全然違うじゃん…！,아앙! 하읏! 뭐야.. 뭐야 이거..! 보지랑.. 완전 달라..!,嗯啊啊……！哈啊……！這、這是什麼感覺……！跟小穴完全不一樣……！,びっくり,Á... ha...! C-cái gì thế này...! Khác hẳn với phía trước luôn ấy...!
SCENE_BUTLER_AHEN_FELLATIO_5,Mmm...,啾……,ちゅ…,츄..,啾……,キス,Chụt...
SCENE_MAI_ANAL_CAT_PLAYING_03,It's embarrassing... way more embarrassing than usual...!,好害羞……比平常还要害羞多了……！,恥ずかしい…いつもより…ずっと恥ずかしいよぉ…っ！,부끄러워.. 평소보다.. 훨씬 부끄러웟..!,好害羞……比平常還要害羞多了……！,びっくり,Xấu hổ quá... xấu hổ hơn bình thường nhiều luôn ấy...!
SCENE_KONIAL_FULL_NELSON_CUM_02,Ah... haaahn...! ...All of it... all of it inside...! Ugh...!,啊……哈啊啊……！ ……全部……全部都射在里面……！呜呃……！,あ…はぁああん…っ…！…全部…全部…中にぃ…！うぐぅ…ッ！,아.. 아앙..! 전부.. 전부.. 안에..! 으응..!!,啊……哈啊啊……！……全部……全部都射在裡面……！嗚呃……！,絶頂,A... ưm... bắn hết... bắn hết vào trong đi...! Ư...!
SCENE_MAI_ANAL_CAT_PLAYING_02,Nnn...! You're hitting... some weird place deep inside... aahn!,嗯嗯……！里面……奇怪的地方……被顶到了……啊啊！,んんっ…！ 奥の…変なとこ…突かれてるぅ…ああんっ！,으응..! 안쪽.. 이상한 곳.. 찔러지고 있어.. 아앙!,嗯嗯……！裡面……奇怪的地方……被頂到了……啊啊！,びっくり,Ưm...! Anh đâm trúng... chỗ kỳ lạ nào ở sâu bên trong rồi... aahn!
SCENE_MAI_ANAL_CAT_PLAYING_04,Auh...! You're hitting somewhere... totally different from my pussy...!,啊呜……！被顶到的地方……跟小穴完全不一样……！,あうっ…！まんことは違うとこ…突かれてるぅ…！,아읏..! 보지와는 다른 곳 찌르고 있어..!,啊嗚……！被頂到的地方……跟小穴完全不一樣……！,びっくり,Á...! Anh đang đâm vào... chỗ khác hẳn phía trước rồi...!
SCENE_KONIAL_MISSIONARY_KISS_READY_01,K-kiss me... don't stop... hah... just like that...,亲、亲我……不要停……哈呜……就这样……,キ、キス…やめるな…はぅっ…そのまま…,키.. 키스.. 멈추지 마.. 하읏.. 그대로..,親、親我……不要停……哈嗚……就這樣……,ツンデレ,H-hôn ta đi... đừng dừng lại... hah... cứ thế đi...
SCENE_REINA_DOGGY_SWIMSUIT_AFTER_02,Nn... if we stay like this... I'm sure I'll get pregnant...,嗯呜……再这样下去的话，肯定会怀孕的……,んぅ…このままだと、きっと妊娠しちゃいます…,으응.. 이대로면 분명 임신할거에요..,嗯嗚……再這樣下去的話，肯定會懷孕的……,余韻+笑顔,Ưm... cứ thế này... chắc em sẽ có thai mất...
SCENE_REINA_DOGGY_SWIMSUIT_AFTER_03,Look... your semen is overflowing from me...,您看……精液从里面流出来了喔……,見てください…精液が、溢れてきてますよ…,보세요.. 정액이 넘쳐 흘러나오고 있어요..,您看……精液從裡面流出來了喔……,余韻+笑顔,Anh nhìn này... tinh dịch đang tràn hết ra ngoài em rồi...
SCENE_KONIAL_MISSIONARY_KISS_READY_03,Do you intend to keep me waiting...?,你打算让我等下去吗……？,我を、待たせるつもりか…？,감히 날 기다리게 할 거야..?,你打算讓我等下去嗎……？,ツンデレ,Ngươi định để ta phải chờ đợi sao...?
SCENE_KONIAL_MISSIONARY_KISS_READY_02,Nnnh...? What are you hesitating for... hurry and put it in... hah...,嗯嗯……？你在犹豫什么……还不快放进来……哈呜……,んんぅ…？何を、躊躇ってる…早く、入れないか…はぅっ…,으응..? 뭘 묻고 있는 거야.. 어서 넣으라고.. 하읍..,嗯嗯……？你在猶豫什麼……還不快放進來……哈嗚……,ツンデレ,Ưm...? Ngươi còn ngập ngừng gì nữa... mau đưa vào đi... hah...
SCENE_REINA_DOGGY_SWIMSUIT_AFTER_01,Hah... hah... your semen... makes my belly... so warm...,哈啊……哈啊……您的精液……让我的肚子里……变得好温暖……,はぁ…はぁ…あなたの精液で…お腹の中…とても、温かいです…,하아.. 하아.. 당신의 정액으로.. 뱃속이.. 따듯해요..,哈啊……哈啊……您的精液……讓我的肚子裡……變得好溫暖……,余韻,Hà... hà... tinh dịch của anh... làm bụng em... ấm áp quá...
SCENE_MAI_SUMATA_PLAYING_04,You're better at touching boobs than I expected... might feel kinda good...,你摸胸部意外地挺会嘛……好像有点舒服……,おっぱい触んの、意外と上手いじゃん？…ちょっと気持ちいーかも…,가슴 만지는 거 제법이잖아? ..조금 기분 좋을지도..,你摸胸部意外地挺會嘛……好像有點舒服……,びっくり,Cậu xoa ngực cũng khá đấy chứ nhỉ?... Hình như cũng hơi sướng sướng rồi...
SCENE_REINA_DOGGY_WINDOW_READY_02,Ah... my breasts against the cold glass... hah...,啊……胸部贴在冰冷的玻璃上……哈啊……,あ…冷たいガラスに…おっぱいが…はぅっ…,아.. 차가운 유리에.. 가슴이.. 하읏..,啊……胸部貼在冰冷的玻璃上……哈啊……,照れてる,Á... ngực em ép sát vào lớp kính lạnh... hah...
SCENE_REINA_DOGGY_WINDOW_READY_03,A-are you just going to watch...?,您、您只是要看着吗……？,み、見ているだけですか…？,보.. 보고만 있으실 건가요?..,您、您只是要看著嗎……？,照れてる,A-anh... chỉ đứng nhìn thôi sao...?
SCENE_MAI_SUMATA_PLAYING_01,"Ahaha, you're pretty good... yeah. Feels good?",啊哈，挺会的嘛……对。舒服吗？,あはっ、上手じゃん…そう。気持ちいい？,"하핫, 잘 하네.. 그래. 기분 좋아?",啊哈，挺會的嘛……對。舒服嗎？,遊び心,"A ha, giỏi đấy chứ... Sao nào, sướng không?"
SCENE_KONIAL_PRESS_CUM_01,Hah...?! Y-you're coming? Wait...! If you come now...! Ohohhh...!!,哈啊……？ ！你、你要射？等等……！现在射的话……！喔呵啊啊……！ ！,はぁ…？！だ、出すって？ちょっと…！今出されたら…！おほぉぉぉっ…！！,뭐?! 싼다고? 잠깐..! 지금 싸버리면..! 오오오옥!,哈啊……？！你、你要射？等等……！現在射的話……！喔呵啊啊……！！,絶頂,Hả...?! N-ngươi định ra sao? Khoan đã...! Nếu ra bây giờ...! Ôi thôi...!!
SCENE_REINA_DOGGY_WINDOW_READY_01,It really is... a little embarrassing...,果然……还是有点害羞……,やっぱり…少し恥ずかしいです…,역시.. 조금 부끄러워요..,果然……還是有點害羞……,照れてる,Thế này... vẫn hơi xấu hổ...
SCENE_MAI_SUMATA_PLAYING_03,"Nn, you can thrust all you want and I still won't get pregnant...",嗯，你再怎么顶也不会怀孕啦……,んっ、そんなに突いても妊娠しないし…,"읏, 그렇게 박아도 임신 안 하니까..",嗯，你再怎麼頂也不會懷孕啦……,照れてる,"Ưm, có thúc thế nào thì cũng không có thai được đâu mà..."
SCENE_MAI_SUMATA_PLAYING_02,Nn... like you're putting it in my pussy? Hehe...,嗯……像插进我的小穴一样？嘿嘿……,んぅ…まんこに入れてるみたい、って？へへ…,으응.. 보지에 넣은 거 같다고? 헤헤..,嗯……像插進我的小穴一樣？嘿嘿……,笑顔,Ưm... cậu bảo như đang đút vào trong ấy hả? Hê hê...
SCENE_KONIAL_PRESS_CUM_02,Ugh?! Like this... inside?! W-wait... haaah?!,呜呃？ ！就这样……射里面？ ！等、等……哈啊啊？ ！,うぐっ？！このまま…中に？！ま…待っ…はぁあぁっ？！,으읏?! 이대로 안에?! 기.. 기다려..엇?!,嗚呃？！就這樣……射裡面？！等、等……哈啊啊？！,絶頂,Ư...?! Cứ thế... bắn vào trong sao?! K-khoan... haaah?!
SCENE_MAI_PAIZURI_CUM_02,It's throbbing so hot... almost there?,烫烫的还在跳……快射了吗？,熱いの、ビクビクしてるじゃん…もう出る…？,뜨거운 게 움찔거리잖아! 이제 싸는 거야?,燙燙的還在跳……快射了嗎？,びっくり,Nó nóng hổi và đang giật giật rồi này... Sắp ra chưa cậu...?
SCENE_MAI_PAIZURI_CUM_01,"Close? Sure, just come like that...!",快射了？可以啊，就这样射出来……！,出そう？いーよ、そのまま出しちゃっても…！,"쌀 것 같아? 그래, 그대로 싸도 되니까..!",快射了？可以啊，就這樣射出來……！,びっくり,"Sắp ra rồi à? Được thôi, cứ bắn thẳng luôn đi...!"
SCENE_KONIAL_FULL_NELSON_AFTER_01,Nnuh... uuh... you... how dare you...!,嗯呜……呜呜……你……竟敢这样……！,んぅっ…うぅっ…お前達…よくもぉっ…！,응호옷.. 이 녀석들.. 감히잇..,嗯嗚……嗚嗚……你……竟敢這樣……！,精神/心+おほ声 (壊れた喘ぎ声),Ư... ư... lũ các ngươi... sao dám...!
SCENE_KONIAL_FULL_NELSON_AFTER_02,O-ohh...,喔、喔呵……,おっ…おほぉっ……,으긋.. 오오옷..,喔、喔呵……,精神/心+おほ声 (壊れた喘ぎ声),A... a...
SCENE_KONIAL_FULL_NELSON_AFTER_03,Hii... hah... hah... hoo...,咿……哈啊……哈啊……呼……,ひぃっ…はぁ…はぁ…ふぅ…,흐이익.. 하아.. 하아..,咿……哈啊……哈啊……呼……,精神/心+おほ声 (壊れた喘ぎ声),Hơ... hà... hà... phù...
SCENE_MAI_STANDING_SEX_AFTER_03,"Hah... I'm gonna fall, so hold me properly, okay?",哈啊……我快跌倒了，你要好好扶着我喔……？,はぁ…こけちゃいそーだから、ちゃんと支えててよね…？,"하아.. 넘어질 거 같으니까, 꼭 잡아줘..",哈啊……我快跌倒了，你要好好扶著我喔……？,余韻,"Hà... em sắp ngã rồi, nên phải ôm chặt lấy em đấy nhé...?"
SCENE_MAI_STANDING_SEX_AFTER_02,Seriously feels amazing... I've never felt this before...,真的好爽……这种感觉……还是第一次……,マジ気持ちいい…こんなの…初めて……,정말 좋아.. 이런 거.. 처음이야..,真的好爽……這種感覺……還是第一次……,余韻,Sướng dã man luôn... Cảm giác này... đây là lần đầu tiên...
SCENE_MAI_STANDING_SEX_AFTER_01,Hah... hah... wow... my legs won't work...,哈啊……哈啊……好猛……腿都没力了……,はぁ…はぁ…すご…足…力入んないや……,하아.. 하아.. 대단해.. 다리에.. 힘이 안 들어가..,哈啊……哈啊……好猛……腿都沒力了……,余韻,Hà... hà... đỉnh quá... chân em không còn chút sức lực nào nữa rồi...
SCENE_KONIAL_FULL_NELSON_READY_01,Kuh... t-this... I can't shake it off...?,呿……这、这个……我竟然挣脱不了……？,くっ……こ、これ……振りほどけないぞ…？,큿.. 이.. 뿌리칠 수 없잖아?,呿……這、這個……我竟然掙脫不了……？,うろたえる,Ưm... c-cái này... ta không tài nào gỡ ra được sao...?
SCENE_KONIAL_FULL_NELSON_READY_03,Did you think the great Konial... was frightened?,你以为本柯尼亚尔大人……会害怕吗？,このコニアル様が…怯えてるとでも思ったか？,이 코니알 님이 겁먹었다 생각한 거야?,你以為本柯尼亞爾大人……會害怕嗎？,誇らしげな,Ngươi nghĩ một Konial cao quý như ta... lại biết sợ hãi sao?
SCENE_KONIAL_FULL_NELSON_READY_02,K-kihihi... wait a moment...,嘻、嘻嘻……等一下……,き…きひひ…ちょっと待て…,키.. 키히히.. 잠깐 기다려..,嘻、嘻嘻……等一下……,うろたえる,K-khi hi hi... chờ đã...
SCENE_MAI_FELLATIO_CUM_01,Ngh! You're coming now...?,嗯呃！现在要射了……？,んぐっ！今出すの…？,우웁! 지금 싸는 거야?,嗯呃！現在要射了……？,びっくり,Ực! Bắn bây giờ luôn hả...?
SCENE_REINA_SYUYU_CUM_01,A-aah... I'm going strange...! It feels too good... hah...!,啊、啊啊……我快变奇怪了……！太舒服了……哈呜……！,あ…ああん…おかしくなっちゃいます…！気持ちよすぎて…はぅんっ…！,아.. 아앙.. 이상해져요..! 너무 기분 좋아서.. 아읏!,啊、啊啊……我快變奇怪了……！太舒服了……哈嗚……！,絶頂,A... á... em phát điên mất thôi...! Sướng quá trời... ưm...!
SCENE_REINA_SYUYU_CUM_02,"Are you about to come...? Yes, let it all out...!",您快射了吗……？好的，请全部……射出来……！,イきそうですか…？はい、全部…出してくださいっ…！,"갈 거 같으신가요..? 네, 전부 싸 주세요..!",您快射了嗎……？好的，請全部……射出來……！,絶頂,"Anh sắp ra rồi ạ...? Vâng, bắn hết... vào trong em đi...!"
SCENE_MAI_FELLATIO_CUM_02,"You're close? Nnmm... fine. Don't spill any, okay?",你快射了？嗯唔……可以啊。可别漏出来喔？,出そうって？んむ…いーよ。こぼしちゃダメだからね？,쌀 거 같다고? 우움.. 그래. 흘리면 안 된다?,你快射了？嗯唔……可以啊。可別漏出來喔？,びっくり,Cậu sắp ra rồi á? Ưm... được thôi. Cấm làm đổ ra ngoài đấy nhé?
SCENE_KONIAL_ONAHLE_READY_03,There... how does it feel?,来……感觉如何？,ほら…気分はどうだ？,으응~ 기분이 어때?,來……感覺如何？,からかう,Nào... cảm giác thế nào rồi?
SCENE_KONIAL_ONAHLE_READY_02,Don't worry... just relax...,别担心……放轻松……,心配するな…力を抜いて…,괜찮아.. 힘 빼고~,別擔心……放輕鬆……,からかう,Đừng lo... cứ thả lỏng người ra...
SCENE_KONIAL_ONAHLE_READY_01,Kihihi... Look how hard you've gotten.,嘻嘻嘻……变得挺硬的嘛。,きひひ……随分と硬くなってるじゃないか。,키히히.. 엄청나게 커 졌네?,嘻嘻嘻……變得挺硬的嘛。,からかう,Kê hê hê... Hóa ra đã cứng đến mức này rồi cơ à.
SCENE_PAZUZU_COWGIRL_PLAYING_04,"You may go faster, you know...? Nnn...",再快一点也可以喔……？嗯嗯……,もっと速くしてもいいんですよ…？んんっ…,더 빠르게 해도 되겠죠..? 읏..,再快一點也可以喔……？嗯嗯……,びっくり,Ta cho phép ngươi làm nhanh hơn đấy...? Ưm...
SCENE_CALL_KONIAL_ELNIKO,Elniko.,Elniko。,えるにこ.,Elniko.,Elniko。,からかう,Elniko.
SCENE_PAZUZU_COWGIRL_PLAYING_03,Make it harder... aahn...,请让它……变得更硬……啊啊……,もっと、硬くしてください…あぁん…っ…,"좀 더, 단단하게 해 보세요.. 아앙..",請讓它……變得更硬……啊啊……,軽い驚き,Hãy làm cho nó... cứng hơn nữa đi... aahn...!
SCENE_REINA_MISSIONARY_PANTIES_AFTER_03,Yes... Do whatever you want with me... as many times as you like...,嗯……不管多少次……您都可以随心所欲地使用我……,はい…何度でも…好きにしていいですよ…,네.. 몇 번이고.. 해주셔도 좋으니까.,嗯……不管多少次……您都可以隨心所欲地使用我……,余韻,Vâng... bao nhiêu lần cũng được... anh cứ tùy ý làm gì em cũng được...
SCENE_PAZUZU_COWGIRL_PLAYING_02,Nn...! Not bad at all... ugh... hah...,嗯……！还挺有用的呢……呜呃……哈呜……,んっ…！なかなか使えますね…うくっ…はうっ…,응..! 제법 쓸만하네요.. 우힛.. 하읏..,嗯……！還挺有用的呢……嗚呃……哈嗚……,軽い驚き,Ưm...! Ngươi làm cũng khá đấy chứ... ư... hộc...
SCENE_REINA_MISSIONARY_PANTIES_AFTER_02,...You're still... hard... hehe...,……你还是……硬着呢……呵呵……,…まだ…硬いままですね…ふふっ…,..아직.. 단단하시네요.. 후훗..,……你還是……硬著呢……呵呵……,笑顔,...Vẫn còn cứng thế này cơ à... hi hi...
SCENE_PAZUZU_COWGIRL_PLAYING_01,Hoo... haaah... auhn...!,呼……哈啊啊……啊嗯……！,ふぅっ、はぁぁ…あぅん…！,"흐읏, 하아아.. 아응..!",呼……哈啊啊……啊嗯……！,びっくり,Phù... hà... a...!
SCENE_REINA_MISSIONARY_PANTIES_AFTER_01,Hah... hah... your semen... is overflowing...,哈啊……哈啊……您的精液……都流出来了……,はぁ…はぁ…あなたの精液…溢れてます…,하아.. 하아.. 당신의 정액.. 흘러나오고 있어요..,哈啊……哈啊……您的精液……都流出來了……,余韻,Hà... hà... tinh dịch của anh... đang tràn hết ra rồi...
SCENE_MAI_FELLATIO_PLAYING_01,Nnmm... (trembling...),嗯唔……（颤抖……）,んむっ……（ビクビク……）,우웁.. (톡톡..),嗯唔……（顫抖……）,心ここにあらずで吸う,Ưm... *giật giật*...
SCENE_MAI_FELLATIO_PLAYING_02,"Nn... *slurp*... how is it, feel good...? ...(slick...)",嗯……啾噗……怎样，舒服吗……？ ……（湿黏……）,んぅ…ちゅぷ…どお、気持ちいー…？…（ぬちゅっ…）,"으응.. 츄웁.. 어때, 기분 좋아? ..(토도독..)",嗯……啾噗……怎樣，舒服嗎……？……（濕黏……）,心ここにあらずで吸う,"Ưm... *chụt*... sao hả, sướng không...? ...*láp nháp*..."
SCENE_MAI_FELLATIO_PLAYING_03,Nnmm... hm? This spot's weak? Then I'll use my tongue more...,嗯唔……嗯？这里很敏感？那我再多用点舌头……,んむ…ん？ここが弱いの？じゃあ、もっと舌使って…,우물.. 으응? 여기가 약한 거야? 그럼 좀더 혀를 써서..,嗯唔……嗯？這裡很敏感？那我再多用點舌頭……,心ここにあらずで吸う,Ưm... hử? Chỗ này là điểm nhạy cảm của cậu à? Thế thì tớ sẽ dùng lưỡi nhiều hơn...
SCENE_MAI_FELLATIO_PLAYING_04,Ngh... it goes deeper down my throat than I thought... ahm...,嗯呃……比想像中还插到喉咙深处……啊唔……,んぐっ…思ったより喉の奥まで入ってくる…あむっ…,하읏.. 생각보다 목구멍 깊이까지 들어오네.. 우읍..,嗯呃……比想像中還插到喉嚨深處……啊唔……,びっくり,Ực... đút sâu vào tận cổ họng tớ luôn rồi... ưm...
SCENE_REINA_SITTING_REVERSE_CUM_01,Y-yes... I was waiting...! Fill my womb until it's completely full...!,好、好的……我等着呢……！请把我的子宫……射得满满的……！,は、いぃ…待ってました…！私の子宮、いっぱいになるくらい、いっぱいに…！,네엣.. 기다렸어요..! 제 자궁 가득 찰 정도로 가득!,好、好的……我等著呢……！請把我的子宮……射得滿滿的……！,絶頂,"V-vâng... em chờ mãi... Bắn đầy tử cung em đi, ngập tràn luôn đi anh...!"
SCENE_REINA_SITTING_REVERSE_CUM_02,"I'm coming! I'm going to come...! Nn, fuaaaaahn...!",我要去了！要去了……！嗯、呼啊啊啊……！,イくっ！イっちゃう…っ！んっ、ふあああぁぁん…！,"가버렷..! 간닷! 흣, 흐아아앙..!",我要去了！要去了……！嗯、呼啊啊啊……！,絶頂,"Ra mất! Em ra mất rồi...! Ưm, a...!"
SCENE_KONIAL_COWGIRL_AFTER_02,"Come on, hurry up and get hard again.",好了，快点再硬起来。,ほら、さっさともう一度硬くしろ。,"어서, 다시 단단하게 만들라고~",好了，快點再硬起來。,からかう,"Nao, mau làm cho nó cứng lại lần nữa đi."
SCENE_KONIAL_COWGIRL_AFTER_03,"...You didn't think we'd stop after one round, did you?",……你不会以为一次就结束了吧？,…一回で終わるなんて思ってないよな…？,..한 번으로 끝날거라 생각 한 거 아니지?,……你不會以為一次就結束了吧？,からかう,...Ngươi đâu có nghĩ chỉ một lần là xong chuyện đúng không...?
SCENE_MAI_DOGGY_DOOR_READY_02,"No matter how much... I move like this... nn, it won't budge...",不管我……怎么这样动……嗯，完全不动耶……,いくら……こーやって動いても……んっ、びくともしないしぃ…,"아무리.. 이렇게 움직여도, 읏. 꼼짝도 않는 걸.",不管我……怎麼這樣動……嗯，完全不動耶……,生意気+照れてる,"Dù tớ... có lắc hông thế này... ưm, cậu cũng chẳng hề hấn gì nhỉ..."
SCENE_KONIAL_COWGIRL_AFTER_01,Hah... impressive... my belly is hot inside...,哈啊……真厉害……肚子里好烫……,はぁ…凄かったぞ…腹の中が熱い…,하아.. 대단하네.. 뱃속이 뜨거워.,哈啊……真厲害……肚子裡好燙……,からかう,Hà... đỉnh thật đấy... trong bụng ta nóng rực lên rồi...
SCENE_MAI_DOGGY_DOOR_READY_03,"You're thinking something dirty, aren't you? You're such a closet perv... hehe...",你是不是在想色色的事？你本来就闷骚嘛……嘿嘿……,エッチなこと考えてんじゃない…？あんた、むっつりスケベだし…へへっ…,이상한 생각 하는 거 아니야? 응큼하긴.. 히힛..,你是不是在想色色的事？你本來就悶騷嘛……嘿嘿……,生意気+照れてる,Cậu lại đang nghĩ chuyện đen tối đúng không?... Cậu đúng là đồ dâm ngầm mà... hê hê...
SCENE_REINA_SITTING_REVERSE_READY_01,My pussy is completely exposed...,我的小穴被看得一清二楚呢……,私のおまんこ、丸見えですね…,"제 보지, 훤히 보여지고 있어요..",我的小穴被看得一清二楚呢……,照れてる,Chỗ đó của em... bị nhìn thấy hết rồi...
SCENE_REINA_SITTING_REVERSE_READY_02,...Am I heavy? I'm rather big in several places...,……我会不会很重？我的身体有好几处都很大……,…重くありませんか？私、あちこち大きいので…,..무겁진 않으시죠? 이곳저곳 큰 편이라..,……我會不會很重？我的身體有好幾處都很大……,照れてる,...Em có nặng không anh? Người em chỗ nào cũng to đùng...
SCENE_MAI_DOGGY_DOOR_READY_01,I'm stuck in the door... and I can't move...,我被门夹住了……动不了啦……,ドアに挟まって…動けないんですけどぉー…,문에 끼여서.. 못 움직이겠는 걸~..,我被門夾住了……動不了啦……,生意気+照れてる,Bị kẹt vào khe cửa rồi... tớ không cử động được nữa này...
SCENE_REINA_SITTING_REVERSE_READY_03,Your cock is soaked with my love juices...,您的阴茎……被我的爱液弄得湿答答的……,私の愛液で、ぐしょぐしょに濡れてます。あなたの、おちんちん…,제 애액으로 잔뜩 젖고 있어요. 당신의 자지..,您的陰莖……被我的愛液弄得濕答答的……,照れてる,Nước tình của em làm nó ướt sũng rồi. Của anh đấy...
SCENE_BUTLER_MISSIONARY_AFTER_01,Uuuh... I... ah... naaah...!,呜呜……我、我……啊……嗯啊啊……！,ううぅっ…わたくし、あ…んぁあっ…！,"으으읏.. 저, 그게.. 우으으..",嗚嗚……我、我……啊……嗯啊啊……！,余韻,Ư... ư... kẻ hèn này... a... á...!
SCENE_BUTLER_MISSIONARY_AFTER_03,P-please do not look for a moment... I am still embarrassed...,请、请您暂时不要看我……我还是很害羞……,す…少しの間、見ないでくださいませ…まだ、恥ずかしいので…,자.. 잠시 보지 마세요.. 아직 부끄러워요..,請、請您暫時不要看我……我還是很害羞……,照れてる,X-xin ngài đừng nhìn em lúc này... em vẫn còn xấu hổ lắm...
